fname,label,manually_verified,freesound_id,license
accdf31f.wav,Tearing,0,89785,Attribution
acd4f800.wav,Chime,1,186719,Attribution
acdb405a.wav,Cello,0,81034,Attribution
acde93b5.wav,Laughter,0,161194,Creative Commons 0
ace4f283.wav,Oboe,0,355233,Attribution
ace77c96.wav,Snare_drum,0,160868,Creative Commons 0
ace78db8.wav,Bark,0,364662,Creative Commons 0
ace9f152.wav,Gong,0,209398,Attribution
acf11a33.wav,Tambourine,1,382876,Attribution
acf98333.wav,Squeak,0,104529,Creative Commons 0
ad0436f7.wav,Squeak,0,221649,Creative Commons 0
ad06c90b.wav,Cello,1,42243,Attribution
ad0c3285.wav,Burping_or_eructation,0,101167,Attribution
ad150a69.wav,Gong,0,57624,Attribution
ad24a452.wav,Burping_or_eructation,1,323713,Creative Commons 0
ad2bb540.wav,Applause,1,241890,Attribution
ad3ff995.wav,Hi-hat,0,78224,Attribution
ad4200e4.wav,Drawer_open_or_close,1,167263,Attribution
ad42e493.wav,Clarinet,1,249133,Attribution
ad4e15d3.wav,Cough,1,323695,Creative Commons 0
ad5dc3ef.wav,Cough,0,368380,Creative Commons 0
ad62406c.wav,Bus,1,379379,Creative Commons 0
ad73fca1.wav,Fart,1,85361,Attribution
ad7a0dd8.wav,Clarinet,0,248564,Attribution
ad7ec8cb.wav,Clarinet,1,356868,Attribution
ad91fee3.wav,Cello,0,17597,Creative Commons 0
ad999a17.wav,Acoustic_guitar,0,161317,Creative Commons 0
ad9a5db4.wav,Burping_or_eructation,0,217673,Creative Commons 0
ad9c9701.wav,Computer_keyboard,1,367177,Attribution
ada49513.wav,Gunshot_or_gunfire,1,257364,Creative Commons 0
adaada0f.wav,Finger_snapping,1,346807,Attribution
adabf1b8.wav,Oboe,0,355260,Attribution
adbf981b.wav,Applause,0,135191,Creative Commons 0
adc9d9d8.wav,Snare_drum,0,198099,Attribution
addaadf5.wav,Bass_drum,0,65896,Attribution
adeff5f1.wav,Applause,0,198938,Creative Commons 0
adf35797.wav,Acoustic_guitar,0,74200,Creative Commons 0
adf374f7.wav,Applause,0,198087,Attribution
adfb7e0b.wav,Shatter,0,163364,Creative Commons 0
ae046a29.wav,Bark,1,89210,Creative Commons 0
ae0820a8.wav,Double_bass,0,383666,Creative Commons 0
ae0d9801.wav,Flute,0,65507,Attribution
ae0ed31b.wav,Writing,0,196795,Attribution
ae12f941.wav,Chime,1,359120,Creative Commons 0
ae1d4a4b.wav,Meow,1,232361,Attribution
ae247229.wav,Harmonica,0,352731,Creative Commons 0
ae26f1af.wav,Double_bass,0,354333,Attribution
ae38fd74.wav,Snare_drum,0,81205,Attribution
ae578781.wav,Flute,0,328838,Attribution
ae57e1ec.wav,Harmonica,1,116923,Creative Commons 0
ae58d0bb.wav,Tambourine,1,210693,Attribution
ae5b8b4b.wav,Squeak,1,18172,Attribution
ae5c5c48.wav,Flute,0,242030,Creative Commons 0
ae5cabf7.wav,Oboe,0,355121,Attribution
ae5fc8a0.wav,Snare_drum,0,35613,Attribution
ae601b3b.wav,Gong,0,94204,Attribution
ae67b6b6.wav,Clarinet,1,248624,Attribution
ae6dc552.wav,Applause,0,181278,Creative Commons 0
ae7087c7.wav,Scissors,1,268143,Attribution
ae733935.wav,Double_bass,0,203810,Attribution
ae76357b.wav,Snare_drum,0,38927,Attribution
ae7d15cf.wav,Scissors,1,352504,Creative Commons 0
ae7d1c37.wav,Snare_drum,1,13201,Creative Commons 0
ae8d10a8.wav,Clarinet,1,356965,Attribution
ae8eee17.wav,Clarinet,0,249085,Attribution
ae927587.wav,Shatter,0,97669,Attribution
ae9308c1.wav,Snare_drum,0,34091,Attribution
ae9fb62c.wav,Oboe,0,355160,Attribution
aea2ef3a.wav,Shatter,0,201919,Creative Commons 0
aea3d36d.wav,Bark,0,242402,Attribution
aea6b912.wav,Bass_drum,0,344757,Attribution
aeb5f4ce.wav,Trumpet,0,152575,Attribution
aeb76e9d.wav,Violin_or_fiddle,1,374517,Creative Commons 0
aebf610f.wav,Squeak,0,350917,Creative Commons 0
aecf8744.wav,Acoustic_guitar,0,252341,Attribution
aed229aa.wav,Keys_jangling,1,349349,Attribution
aed9d22f.wav,Hi-hat,1,137529,Attribution
aeee87f3.wav,Oboe,1,373596,Creative Commons 0
aeeeacfa.wav,Gong,1,375537,Creative Commons 0
aeeef40f.wav,Trumpet,0,53935,Creative Commons 0
aeef4dcd.wav,Cough,1,19115,Attribution
aef27ffa.wav,Acoustic_guitar,0,250147,Creative Commons 0
aef57ade.wav,Cowbell,0,91185,Creative Commons 0
aefa64ef.wav,Hi-hat,0,115616,Creative Commons 0
aefc0858.wav,Oboe,0,355272,Attribution
aefd8a46.wav,Acoustic_guitar,1,183821,Attribution
af16cacc.wav,Shatter,1,204686,Attribution
af1b313a.wav,Gong,1,222924,Attribution
af1b323b.wav,Gong,0,46062,Attribution
af1b4a91.wav,Oboe,0,355168,Attribution
af227d6f.wav,Flute,1,354807,Attribution
af24f6eb.wav,Tearing,1,141131,Creative Commons 0
af26af82.wav,Snare_drum,0,45081,Creative Commons 0
af2f888a.wav,Tambourine,1,382840,Attribution
af332bc7.wav,Applause,0,242224,Creative Commons 0
af37d60f.wav,Snare_drum,0,34134,Attribution
af385e76.wav,Fireworks,0,244394,Creative Commons 0
af3ba889.wav,Violin_or_fiddle,1,333732,Creative Commons 0
af3c04ec.wav,Squeak,1,185830,Creative Commons 0
af4c4501.wav,Gong,0,64550,Attribution
af4d21ce.wav,Glockenspiel,1,348904,Creative Commons 0
af525d74.wav,Laughter,1,47371,Attribution
af60b442.wav,Bass_drum,0,41149,Attribution
af65e469.wav,Bass_drum,0,3165,Attribution
af68a762.wav,Flute,0,255740,Creative Commons 0
af7d378f.wav,Cello,0,42259,Attribution
af8034f1.wav,Snare_drum,0,108250,Creative Commons 0
af82c652.wav,Hi-hat,0,68607,Attribution
af863e82.wav,Flute,0,53833,Attribution
af8b691d.wav,Fireworks,0,192659,Creative Commons 0
af8c4865.wav,Tambourine,1,350524,Creative Commons 0
af8f7b25.wav,Burping_or_eructation,0,217446,Attribution
afa00136.wav,Cowbell,0,159766,Creative Commons 0
afadb16e.wav,Trumpet,1,247203,Attribution
afb655e1.wav,Microwave_oven,0,219505,Creative Commons 0
afb90284.wav,Double_bass,0,383683,Creative Commons 0
afbdea95.wav,Hi-hat,0,156352,Creative Commons 0
afc24d59.wav,Cello,1,42247,Attribution
afcfff7c.wav,Cowbell,1,90977,Creative Commons 0
afd24fef.wav,Laughter,0,253534,Attribution
afdfd283.wav,Gong,0,152431,Creative Commons 0
afe33168.wav,Saxophone,1,359090,Attribution
afeeaeed.wav,Gong,0,57407,Attribution
aff36438.wav,Fireworks,0,161681,Attribution
aff53600.wav,Knock,0,94773,Creative Commons 0
b0040f47.wav,Snare_drum,0,31518,Attribution
b014444f.wav,Cello,0,54390,Creative Commons 0
b021b8f1.wav,Knock,1,193839,Creative Commons 0
b02a1669.wav,Squeak,1,264159,Creative Commons 0
b02c57e9.wav,Acoustic_guitar,1,182991,Attribution
b03097d6.wav,Saxophone,1,119228,Attribution
b032262f.wav,Cough,0,120213,Attribution
b03249fe.wav,Tearing,0,111106,Attribution
b032fee6.wav,Violin_or_fiddle,1,48685,Attribution
b03d741d.wav,Snare_drum,0,9135,Attribution
b03e05a6.wav,Bark,1,220904,Creative Commons 0
b04794e5.wav,Double_bass,0,203801,Attribution
b04badcf.wav,Flute,0,189449,Creative Commons 0
b04f0f8a.wav,Laughter,1,150329,Attribution
b050e599.wav,Bass_drum,0,51868,Attribution
b0545db1.wav,Fireworks,1,349802,Creative Commons 0
b0549e4b.wav,Fart,0,36958,Creative Commons 0
b065f456.wav,Burping_or_eructation,0,221851,Creative Commons 0
b06d96a7.wav,Electric_piano,0,171410,Attribution
b0748ed2.wav,Squeak,1,109830,Creative Commons 0
b094a923.wav,Clarinet,0,248352,Attribution
b09d2b6a.wav,Hi-hat,1,138782,Attribution
b0a4f56d.wav,Squeak,0,234735,Creative Commons 0
b0ae2253.wav,Bass_drum,0,132582,Creative Commons 0
b0b7029b.wav,Cello,0,248012,Attribution
b0b844f6.wav,Double_bass,0,383603,Creative Commons 0
b0c06255.wav,Clarinet,1,356721,Attribution
b0d08034.wav,Trumpet,0,157818,Creative Commons 0
b0d481d3.wav,Squeak,0,124691,Attribution
b0d9849d.wav,Flute,1,354985,Attribution
b0e822b0.wav,Burping_or_eructation,0,217671,Creative Commons 0
b0e98cd1.wav,Acoustic_guitar,0,13154,Attribution
b0eeb078.wav,Snare_drum,1,28748,Attribution
b0f271a3.wav,Snare_drum,0,128886,Attribution
b0fba6dc.wav,Cough,0,177835,Attribution
b102d8e0.wav,Trumpet,0,10748,Creative Commons 0
b103d3b5.wav,Bark,0,128470,Attribution
b1085f23.wav,Tearing,0,71436,Attribution
b1128ed8.wav,Tearing,0,178844,Creative Commons 0
b114fb4f.wav,Cough,0,157293,Creative Commons 0
b11880e8.wav,Snare_drum,0,31519,Attribution
b119181e.wav,Cowbell,1,382806,Attribution
b120dc90.wav,Saxophone,1,119217,Attribution
b124ad3b.wav,Acoustic_guitar,0,38472,Creative Commons 0
b126f36e.wav,Tambourine,0,348074,Attribution
b12bd3a4.wav,Hi-hat,0,50957,Creative Commons 0
b1437bd0.wav,Writing,0,177882,Attribution
b144653b.wav,Shatter,0,260434,Attribution
b14be147.wav,Hi-hat,0,41943,Attribution
b1567a16.wav,Writing,0,365891,Creative Commons 0
b1589cba.wav,Shatter,0,209996,Creative Commons 0
b15b7e72.wav,Harmonica,0,325378,Attribution
b15db778.wav,Keys_jangling,1,166007,Creative Commons 0
b16a44a5.wav,Electric_piano,1,12745,Attribution
b16cfcb6.wav,Oboe,0,355185,Attribution
b18b17ca.wav,Clarinet,1,248363,Attribution
b191ac63.wav,Clarinet,0,357314,Attribution
b1931977.wav,Knock,0,353035,Attribution
b1a843d3.wav,Knock,0,380706,Creative Commons 0
b1ae78f2.wav,Tambourine,1,210691,Attribution
b1c0912f.wav,Snare_drum,0,246314,Creative Commons 0
b1c5e414.wav,Oboe,1,355297,Attribution
b1c70a0c.wav,Computer_keyboard,1,155572,Creative Commons 0
